Acesso em 2025-01-13T20:27:58.336Z | IP: ::1
Acesso em 2025-01-13T20:29:44.315Z | IP: ::1
Acesso em 2025-01-13T20:30:29.308Z | IP: ::1
Acesso em 2025-01-13T20:30:59.208Z | IP: ::1
Acesso em 2025-01-13T20:32:07.828Z | IP: ::1
Acesso em 2025-01-13T20:32:23.356Z | IP: ::1
Acesso em 2025-01-14T10:49:50.913Z | IP: ::1
Acesso em 2025-01-14T11:00:08.100Z | IP: ::1
Acesso em 2025-01-14T11:00:47.164Z | IP: ::1
Acesso em 2025-01-14T11:01:06.991Z | IP: ::1
Acesso em 2025-01-14T11:01:37.061Z | IP: ::1
Acesso em 2025-01-14T11:01:42.314Z | IP: ::1
Acesso em 2025-01-14T11:01:50.547Z | IP: ::1
Acesso em 2025-01-14T11:07:59.931Z | IP: ::1
Acesso em 2025-01-14T11:08:23.491Z | IP: ::1
Acesso em 2025-01-14T11:08:33.972Z | IP: ::1
Acesso em 2025-01-14T11:10:26.064Z | IP: ::1
Acesso em 2025-01-14T11:23:29.868Z | IP: ::1
Acesso em 2025-01-14T11:25:41.896Z | IP: ::1
Acesso em 2025-01-14T11:26:08.162Z | IP: ::1
Acesso em 2025-01-14T11:31:21.213Z | IP: ::1
Acesso em 2025-01-14T11:31:40.602Z | IP: ::1
Acesso em 2025-01-14T11:32:46.063Z | IP: ::1
Acesso em 2025-01-14T11:33:07.358Z | IP: ::1
Acesso em 2025-01-14T11:35:44.029Z | IP: ::1
Acesso em 2025-01-14T11:37:47.637Z | IP: ::1
Acesso em 2025-01-14T11:51:42.120Z | IP: ::1
Acesso em 2025-01-14T11:51:52.612Z | IP: ::1
Acesso em 2025-01-14T11:53:33.565Z | IP: ::1
Acesso em 2025-01-14T11:54:07.034Z | IP: ::1
Acesso em 2025-01-14T11:55:19.460Z | IP: ::1
Acesso em 2025-01-14T11:55:34.159Z | IP: ::1
Acesso em 2025-01-14T11:55:52.672Z | IP: ::1
Acesso em 2025-01-14T11:57:57.016Z | IP: ::1
Acesso em 2025-01-14T11:58:38.114Z | IP: ::1
Acesso em 2025-01-14T11:59:13.454Z | IP: ::1
Acesso em 2025-01-14T11:59:29.904Z | IP: ::1
Acesso em 2025-01-14T11:59:54.833Z | IP: ::1
Acesso em 2025-01-14T12:01:49.912Z | IP: ::1
Acesso em 2025-01-14T12:02:04.400Z | IP: ::1
Acesso em 2025-01-14T12:03:36.266Z | IP: ::1
Acesso em 2025-01-14T12:18:52.221Z | IP: ::1
Acesso em 2025-01-14T12:19:57.226Z | IP: ::1
Acesso em 2025-01-14T12:21:42.113Z | IP: ::1
Acesso em 2025-01-14T12:21:44.178Z | IP: ::1
Acesso em 2025-01-14T12:22:02.035Z | IP: ::1
Acesso em 2025-01-14T12:22:09.327Z | IP: ::1
Acesso em 2025-01-14T12:22:18.332Z | IP: ::1
Acesso em 2025-01-14T12:22:32.251Z | IP: ::1
Acesso em 2025-01-14T12:22:40.349Z | IP: ::1
Acesso em 2025-01-14T12:22:47.793Z | IP: ::1
Acesso em 2025-01-14T12:23:08.955Z | IP: ::1
Acesso em 2025-01-14T12:23:42.298Z | IP: ::1
Acesso em 2025-01-14T12:23:48.254Z | IP: ::1
Acesso em 2025-01-14T12:23:57.411Z | IP: ::1
Acesso em 2025-01-14T12:26:39.674Z | IP: ::1
Acesso em 2025-01-14T12:27:08.317Z | IP: ::1
Acesso em 2025-01-14T12:27:11.593Z | IP: ::1
Acesso em 2025-01-14T12:27:18.459Z | IP: ::1
Acesso em 2025-01-14T12:29:00.060Z | IP: ::1
Acesso em 2025-01-14T12:31:28.405Z | IP: ::1
Acesso em 2025-01-14T12:32:35.319Z | IP: ::1
